"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 20, 2010","4,123.85","4,121.72","4,151.40","4,028.36","-","0.05%"
"Jun 13, 2010","4,121.72","3,969.23","4,125.92","3,969.23","-","3.84%"
"Jun 06, 2010","3,969.23","3,864.14","3,971.37","3,854.22","-","2.72%"
"May 30, 2010","3,864.14","3,833.91","3,901.07","3,829.17","-","0.79%"
"May 23, 2010","3,833.91","3,781.22","3,835.24","3,704.58","-","1.39%"
"May 16, 2010","3,781.22","3,839.42","3,873.54","3,776.81","-","-1.52%"
"May 09, 2010","3,839.42","3,759.16","3,895.37","3,786.71","-","2.14%"
"May 02, 2010","3,759.16","3,865.45","3,882.65","3,731.47","-","-2.75%"
"Apr 25, 2010","3,865.45","3,836.02","3,866.59","3,792.00","-","0.77%"
"Apr 18, 2010","3,836.02","3,801.08","3,846.09","3,782.71","-","0.92%"
"Apr 11, 2010","3,801.08","3,842.28","3,851.89","3,799.97","-","-1.07%"
"Apr 04, 2010","3,842.28","3,799.38","3,869.09","3,806.01","-","1.13%"
"Mar 28, 2010","3,799.38","3,748.92","3,800.60","3,741.91","-","1.35%"
"Mar 21, 2010","3,748.92","3,764.69","3,795.63","3,745.98","-","-0.42%"
"Mar 14, 2010","3,764.69","3,824.49","3,839.99","3,759.18","-","-1.56%"
"Mar 07, 2010","3,824.49","3,789.77","3,833.26","3,780.66","-","0.92%"
"Feb 28, 2010","3,789.77","3,827.44","3,799.14","3,689.69","-","-0.98%"
"Feb 21, 2010","3,827.44","3,845.05","3,855.80","3,777.97","-","-0.46%"
"Feb 14, 2010","3,845.05","3,770.77","3,868.09","3,763.82","-","1.97%"
"Feb 07, 2010","3,770.77","3,696.24","3,786.72","3,694.72","-","2.02%"
"Jan 31, 2010","3,696.24","3,808.96","3,861.42","3,689.25","-","-2.96%"
"Jan 24, 2010","3,808.96","3,774.82","3,819.31","3,746.04","-","0.90%"
"Jan 17, 2010","3,774.82","3,756.18","3,817.77","3,743.30","-","0.50%"
"Jan 10, 2010","3,756.18","3,726.50","3,787.38","3,705.95","-","0.80%"
"Jan 03, 2010","3,726.50","3,581.42","3,730.13","3,566.87","-","4.05%"
"Dec 27, 2009","3,581.42","3,529.82","3,582.98","3,527.75","-","1.46%"
"Dec 20, 2009","3,529.82","3,499.07","3,531.42","3,491.62","-","0.88%"
