"Date","Price","Open","High","Low","Change %"
"Jun 20, 2011","12.040","12.040","12.040","12.040","-0.01%"
"Jun 17, 2011","12.041","12.041","12.041","12.041","-0.22%"
"Jun 16, 2011","12.068","12.068","12.068","12.068","-0.04%"
"Jun 15, 2011","12.073","12.073","12.073","12.073","-1.92%"
"Jun 14, 2011","12.309","12.309","12.309","12.309","0.00%"
"Jun 13, 2011","12.309","12.309","12.309","12.309","0.00%"
"Jun 10, 2011","12.309","12.309","12.309","12.309","0.11%"
"Jun 09, 2011","12.295","12.295","12.295","12.295","-0.24%"
"Jun 08, 2011","12.324","12.324","12.324","12.324","-0.53%"
"Jun 07, 2011","12.390","12.390","12.390","12.390","0.00%"
"Jun 06, 2011","12.390","12.390","12.390","12.390","0.50%"
"Jun 03, 2011","12.328","12.328","12.328","12.328","-0.88%"
"Jun 02, 2011","12.438","12.438","12.438","12.438","0.00%"
"Jun 01, 2011","12.438","12.438","12.438","12.438","0.49%"
"May 31, 2011","12.377","12.377","12.377","12.377","0.03%"
"May 30, 2011","12.373","12.373","12.373","12.373","0.22%"
"May 27, 2011","12.346","12.346","12.346","12.346","0.36%"
"May 26, 2011","12.302","12.302","12.302","12.302","-0.57%"
"May 25, 2011","12.373","12.373","12.373","12.373","0.63%"
"May 24, 2011","12.295","12.295","12.295","12.295","0.00%"
"May 23, 2011","12.295","12.295","12.295","12.295","0.73%"
"May 20, 2011","12.206","12.206","12.206","12.206","0.00%"
"May 19, 2011","12.206","12.206","12.206","12.206","-1.11%"
"May 18, 2011","12.343","12.343","12.343","12.343","1.13%"
"May 17, 2011","12.205","12.205","12.205","12.205","0.00%"
"May 16, 2011","12.205","12.205","12.205","12.205","-2.55%"
"May 13, 2011","12.525","12.525","12.525","12.525","2.04%"
"May 12, 2011","12.274","12.274","12.274","12.274","-0.43%"
"May 11, 2011","12.327","12.327","12.327","12.327","0.01%"
"May 10, 2011","12.326","12.326","12.326","12.326","1.03%"
